2017/09/20 20:37:58 loading corpus...
2017/09/20 20:37:59 loaded 264 programs (3328 total, 0 deleted)
2017/09/20 21:30:49 executed programs: 3885362, crashes: 0
2017/09/20 21:30:59 executed programs: 3899966, crashes: 0
2017/09/20 21:31:09 executed programs: 3914708, crashes: 0
2017/09/20 21:31:19 executed programs: 3929344, crashes: 0
2017/09/20 21:31:29 executed programs: 3944075, crashes: 0
2017/09/20 21:31:39 executed programs: 3944075, crashes: 0
2017/09/20 21:31:49 executed programs: 3958825, crashes: 0
2017/09/20 21:31:59 executed programs: 3973751, crashes: 0
2017/09/20 21:32:09 executed programs: 3988674, crashes: 0
2017/09/20 21:32:19 executed programs: 4003372, crashes: 0
2017/09/20 21:32:29 executed programs: 4018321, crashes: 0
2017/09/20 21:32:39 executed programs: 4018321, crashes: 0
2017/09/20 21:32:49 executed programs: 4033118, crashes: 0
2017/09/20 21:32:59 executed programs: 4047993, crashes: 0
2017/09/20 21:33:09 executed programs: 4062792, crashes: 0
2017/09/20 21:33:19 executed programs: 4077848, crashes: 0
2017/09/20 21:33:29 executed programs: 4092353, crashes: 0
2017/09/20 21:33:39 executed programs: 4092353, crashes: 0
2017/09/20 21:33:49 executed programs: 4109820, crashes: 0
2017/09/20 21:33:59 executed programs: 4124834, crashes: 0
2017/09/20 21:34:09 executed programs: 4139369, crashes: 0
2017/09/20 21:34:19 executed programs: 4154025, crashes: 0
2017/09/20 21:34:29 executed programs: 4157651, crashes: 0
2017/09/20 21:34:39 executed programs: 4168668, crashes: 0
2017/09/20 21:34:49 executed programs: 4183210, crashes: 0
2017/09/20 21:34:59 executed programs: 4197652, crashes: 0
2017/09/20 21:35:09 executed programs: 4212226, crashes: 0
2017/09/20 21:35:19 executed programs: 4226985, crashes: 0
2017/09/20 21:35:29 executed programs: 4230542, crashes: 0
2017/09/20 21:35:39 executed programs: 4241761, crashes: 0
2017/09/20 21:35:49 executed programs: 4258463, crashes: 0
2017/09/20 21:35:59 executed programs: 4273933, crashes: 0
2017/09/20 21:36:09 executed programs: 4281412, crashes: 0
2017/09/20 21:36:19 executed programs: 4296092, crashes: 0
2017/09/20 21:36:29 executed programs: 4303371, crashes: 0
2017/09/20 21:36:39 executed programs: 4317624, crashes: 0
2017/09/20 21:36:49 executed programs: 4332148, crashes: 0
2017/09/20 21:36:59 executed programs: 4346600, crashes: 0
2017/09/20 21:37:09 executed programs: 4353617, crashes: 0
2017/09/20 21:37:19 executed programs: 4368375, crashes: 0
2017/09/20 21:37:29 executed programs: 4375763, crashes: 0
2017/09/20 21:37:39 executed programs: 4390417, crashes: 0
2017/09/20 21:37:49 executed programs: 4405085, crashes: 0
2017/09/20 21:37:59 executed programs: 4419434, crashes: 0
2017/09/20 21:38:09 executed programs: 4426710, crashes: 0
2017/09/20 21:38:19 executed programs: 4441207, crashes: 0
2017/09/20 21:38:29 executed programs: 4448621, crashes: 0
2017/09/20 21:38:39 executed programs: 4463384, crashes: 0
2017/09/20 21:38:49 executed programs: 4477857, crashes: 0
2017/09/20 21:38:59 executed programs: 4492426, crashes: 0
2017/09/20 21:39:09 executed programs: 4499582, crashes: 0
2017/09/20 21:39:19 executed programs: 4514231, crashes: 0
2017/09/20 21:39:29 executed programs: 4521371, crashes: 0
2017/09/20 21:39:39 executed programs: 4536069, crashes: 0
2017/09/20 21:39:49 executed programs: 4550538, crashes: 0
2017/09/20 21:39:58 vm-0: running for 1h0m0.003586823s, restarting (timeout)
2017/09/20 21:39:59 executed programs: 4561538, crashes: 0
2017/09/20 21:40:01 vm-2: running for 1h0m0.00363449s, restarting (timeout)
2017/09/20 21:40:01 vm-3: running for 1h0m0.004790539s, restarting (timeout)
2017/09/20 21:40:01 vm-1: running for 1h0m0.004490364s, restarting (timeout)
2017/09/20 21:40:09 executed programs: 4561538, crashes: 0
2017/09/20 21:40:19 executed programs: 4561538, crashes: 0
2017/09/20 21:40:29 executed programs: 4561549, crashes: 0
2017/09/20 21:40:39 executed programs: 4575538, crashes: 0
2017/09/20 21:40:49 executed programs: 4582495, crashes: 0
2017/09/20 21:40:59 executed programs: 4596861, crashes: 0
2017/09/20 21:41:09 executed programs: 4604138, crashes: 0
2017/09/20 21:41:19 executed programs: 4618192, crashes: 0
2017/09/20 21:41:29 executed programs: 4632564, crashes: 0
